N,Название,Ценник,Чего делать,Чего хотят,URL
39,Ведущий специалист по пожарной безопасности,,"Проведение проверок производственного контроля за пожарной, промышленной, экологической безопасностью и охраной труда. Обучение персонала в облати производственной безопасности. ","Высшее образование - специалитет, магистратура по направлению ""Техносферная безопасность"", ""Пожарная безопасность"". Опыт в аналогичной должности от 2 лет.",https://hh.ru/vacancy/41795670
40,Главный специалист по информационной безопасности (ХК Авангард) [id85101],,Конфигурирование и администрирование средств защиты информации. Проведение аудитов информационной безопасности корпоративных информационных систем. Контроль изменений ИС (анализ и согласование заявок...,"Высшее образование информационная безопасность. Знание инструментов для аудита безопасности (kali linux). Хорошие навыки администрирования linux-based информационных систем (ELK, GrayLog...",https://hh.ru/vacancy/41823735
41,Исследователь опыта сотрудников компании/ UX-исследователь [id80683],,Планирование и организация качественных исследований по требованиям внутреннего заказчика. Назначение в зависимости от задачи методов исследований. Сегментирование и профилирование сотрудников. ,Высшее образование. Знание и практический опыт применения различных методик и инструментов для проведения качественных исследований (не менее 2 лет). ,https://hh.ru/vacancy/41837269
42,Ведущий специалист по строительному контролю,,Проработка предварительной спецификации проекта. Формирование технического задания на проектирование объекта АЗС. Формирование ведомостей материалов и оборудования на объект КС. ,"Высшее профессиональное образование (ПГС). Опыт работы по направлению от 6 лет. Знание систем и методов проектирования, ГОСТов, СНиПов; AutoCAD, знание...",https://hh.ru/vacancy/41943407
43,Главный специалист по механомонтажным работам [id85503],,"Осуществляет строительный контроль с целью определения соответствия показателей качества технологических процессов, строительных материалов, конструкций, машин, механизмов и оборудования, используемых в...",Высшее техническое образование. Стаж работы по специальности на инженерно-технических должностях в области механической подготовки производства в нефтеперерабатывающей отрасли не...,https://hh.ru/vacancy/41955038
44,Инженер группы планирования и учета затрат в дочернее общество Компании,,"Организация документооборота и архивного дела управления главного механика: входящая и исходящая документация, распорядительные документы, локально-нормативные акты, внутренние документы управления...","Образование - высшее (техническое, инженерно-экономическое). Стаж на инженерно-технических, экономических должностях / опыт работы бухгалтером не менее 1-го года. ",https://hh.ru/vacancy/41958277
45,"Ведущий специалист по проведению проверок, г. Иваново [id 93282]",,Выполнение работ по настройке и регулировке средств измерений в процессе подготовки к поверкам. Контроль наличия нормативной документации на объектах Организации...,"Готовность к командировкам. Активная жизненная позиция, коммуникабельность, ответственность, внимательность, стрессоустойчивость, готовность к большим объемам работы и режиму многозадачности.",https://hh.ru/vacancy/41970811
46,Ведущий инженер релейной защите и телемеханике,,"Принимать технические решения и контролировать качество проектирования, изготовления и строительства в части систем РЗА, ТМ и Д. Планировать и контролировать...","Высшее, профильное инженерно-техническое образование (энергетика, по специальности: релейная защита и автоматика, автоматизированные системы управления, электроснабжение промышленных предприятий). ",https://hh.ru/vacancy/41971213
47,Главный специалист по информационной безопасности (DLP-системы) [id81942],,"Прикладная работа с DLP-системами. Выявления и обработка инцидентов, связанных с утечками информации. Анализ инцидентов ИБ. Настройка политик безопасности в...",Создание и редактирование политик безопасности. Опыт написания регулярных выражений. Опыт участия в расследованиях инцидентов ИБ. Опыт работы с информационными системами...,https://hh.ru/vacancy/41974557
48,Главный специалист по организации закупок работ и услуг (Капотня) [id 93701],,"1. Организация и проведение конкурентных процедур закупок работ и услуг: 1.1 Анализ документации по инициации закупочных процедур, поступающей от...","Высшее образование (экономическое/юридическое). Опыт аналогичной работы от 3 лет. Владение ПК (MS Office, SAP). Аналитический склад ума, способность работать...",https://hh.ru/vacancy/41982697
49,Специалист группы анализа и методологии [id81301],,"Администрирование портала инициатив: модерирование идей, назначение экспертов, сопровождение идей до статуса «Реализовано». Разработка методик подсчета коэффициентов вовлеченности, результативности, активности. ","Высшее проф. образование (техническое, нефтехимического профиля). Опыт работы с Порталом Инициатив или аналогами. Опыт работы на объектах нефтехимического профиля от...",https://hh.ru/vacancy/41985677
50,Главный специалист информационной безопасности (Информационные системы) [id81994],,Выявление и расследование типовых инцидентов в информационных системах. Разработка Use-Case для выявления нетиповых инцидентов в информационных системах. ,"Общие теоретические знания в области информационной безопасности. Знания основных сетевых технологий, протоколов передачи данных, в т.ч. криптографических и безопасных...",https://hh.ru/vacancy/41992152
51,Руководитель направления группы контроля движения материальных потоков,,"Координировать работу группы движения материальных потоков и осуществляет контроль за своевременным и качественным выполнения задач и функций, предусмотренных должностными инструкциями...","Образование - высшее (техническое), программы магистратуры, специалитет. Знание технологии нефтеперерабатывающего производства. Стаж работы на инженерно-технических должностях не менее 3 лет...",https://hh.ru/vacancy/42019679
52,Системный аналитик Terrasoft Creatio [id 92804],,"Проведение обследования, выявление, документирование и детализация требований. Проектирование интерфейсов, логической и физической модели данных. Перевод функциональных требований в технические. ","Навык работы с BPMN 2.0 нотацией. Навыки использования различных нотаций моделирования бизнес-процессов и проектирования структуры данных (UML, IDEF...",https://hh.ru/vacancy/42064270
53,Главный специалист отдела электроснабжения [id94501],,"Надзор за эксплуатацией электротехнического оборудования на закрепленных объектах. Контроль за соблюдением работниками Общества установленных сроков составления актов отбраковок, дефектных ведомостей...","Высшее профильное образование (энергетика). Опыт работы от 3-х лет в области энергетического обслуживания нефтеперерабатывающих предприятий. Работа с НТД, сметной...",https://hh.ru/vacancy/42096274
54,Разработчик [id50081],,"Заниматься разработкой и поддержкой дэшбордов на базе Qlik Sense. Анализировать источники данных, интегрировать их с информационными системами, реализовывать ETL\ELT...","Ты будешь: Работать c BI-системами, Qlik Sense и продуктами MS на уровне продвинутого пользователя. Обрабатывать большие объемы информации. ",https://hh.ru/vacancy/42097208
55,Разработчик Qlik [id21953],,"Заниматься разработкой и поддержкой дэшбордов на базе Qlik Sense. Анализировать источники данных, интегрировать их с информационными системами, реализовывать ETL\ELT...","Ты будешь: Работать c BI-системами, Qlik Sense и продуктами MS на уровне продвинутого пользователя. Обрабатывать большие объемы информации. ",https://hh.ru/vacancy/42097236
56,Архитектор Terrasoft [id 93201],,Участие в разработке целевой архитектуры систем класса BPMS (Terrasoft BPM online Studio. Аудит документов проектов развития. Контроль реализации проекта на...,Хорошее знание возможностей платформы Terrasoft Creatio. Опыт внедрения платформы для крупных холдингов будет преимуществом. Хорошее знание и опыт веб-разработки...,https://hh.ru/vacancy/42101876
57,Разработчик Terrasoft Creatio [id 68304],,Заниматься разработкой проектных решений на промышленной платформе Terrasoft BPM'Online/Creatio с использованием серверного кода ASP.NET (C#) и JavaScript. ,Опыт разработки на C# и работы с платформой .NET 3.5/4.0/4.5/ASP.NET. Знание и опыт работы...,https://hh.ru/vacancy/42103728
58,Главный специалист (по сопровождению и контролю поставок МТР) [id93773],,"Формирование сводных заявок на приобретение оборудования, материалов, комплектующих изделий на основе заказных спецификаций. Анализ остатков МТР. Резервирование позиций свободного запаса...","Высшее образование (преимущественно экономическое, техническое, общий менеджмент). Опыт работы в области поставок/комплектации/продаж оборудования. Навыки составления аналитических отчетов, таблиц...",https://hh.ru/vacancy/42109133
59,Frontend-разработчик (React) [59501],,Участие в проектировании и разработке технологической и прикладной архитектур фронтальных систем с учётом современных и перспективных технологий. Взаимодействие с backend...,"Знание JavaScript. Опыт работы различными фреймворками (желательно React). Хорошие навыки верстки HTML5, CSS3. Опыт работы с системами сборки...",https://hh.ru/vacancy/42117051
60,Ведущий специалист (внедрение и развитие производственных систем) [id94522],,"Прием и регистрация заявок от заказчиков в системе ServiceDesk. Первичный анализ обращения, диагностика. Консультирование заказчиков (по телефону, e-mail) по...","Высшее образование по направлениям: информационные технологии. Знание ОС линейки Windows на уровне продвинутого пользователя, знание основ сетевых технологий. ",https://hh.ru/vacancy/42137167
61,Ведущий специалист сметно-договорного отдела [id77682],,Участие в подготовке и обосновании предложения о начальной цене контракта при организации/проведении Отборов/конкурсов на размещение заказов в строительстве...,Высшее профессиональное образование (Электроснабжение/ Эксплуатация электрооборудования/ Строительство). Стаж работы по аналогичному направлению не менее 3-х лет. Уверенный пользователь MS...,https://hh.ru/vacancy/42153033
62,"Ведущий специалист (РЗиА, АСДУЭл) [id88441]",,"Участие в подготовке задания на проектирование. Сбор исходных данных и разработка ПД, РД (разделов РЗиА, ПА, АСУ ТП, АСКУЭ, АСДУЭл...","Высшее образование (электроснабжение, электроснабжение промышленных предприятий, релейная защита и автоматика). Опыт работы от 3-х лет на позиции инженер-проектировщик...",https://hh.ru/vacancy/42154234
63,Ведущий специалист (проектировщик) [id88442],,"Участие в подготовке задания на проектирование. Сбор исходных данных и разработка ПД, РД (марок ЭС, ЭП, ЭМ, ЭК, ЭО, ЭН...","Высшее образование (специальность: электроснабжение, электроснабжение промышленных предприятий). Опыт работы от 3-х лет в должности инженер-проектировщик (энергетик). ",https://hh.ru/vacancy/42154288
